ano,mes,natureza,quantidade
2025,1,Atendimentos registrados (RAP),310
2025,2,Atendimentos registrados (RAP),384
2025,3,Atendimentos registrados (RAP),272
2025,4,Atendimentos registrados (RAP),328
2025,5,Atendimentos registrados (RAP),320
2025,6,Atendimentos registrados (RAP),289
2025,7,Atendimentos registrados (RAP),357
2025,8,Atendimentos registrados (RAP),367
2025,9,Atendimentos registrados (RAP),424
2025,10,Atendimentos registrados (RAP),512
2025,11,Atendimentos registrados (RAP),496
2025,12,Atendimentos registrados (RAP),51
2025,1,Termos Circunstanciados de Ocorrência - PMDF,7
2025,2,Termos Circunstanciados de Ocorrência - PMDF,14
2025,3,Termos Circunstanciados de Ocorrência - PMDF,13
2025,4,Termos Circunstanciados de Ocorrência - PMDF,7
2025,5,Termos Circunstanciados de Ocorrência - PMDF,7
2025,6,Termos Circunstanciados de Ocorrência - PMDF,12
2025,7,Termos Circunstanciados de Ocorrência - PMDF,9
2025,8,Termos Circunstanciados de Ocorrência - PMDF,7
2025,9,Termos Circunstanciados de Ocorrência - PMDF,9
2025,10,Termos Circunstanciados de Ocorrência - PMDF,8
2025,11,Termos Circunstanciados de Ocorrência - PMDF,5
2025,12,Termos Circunstanciados de Ocorrência - PMDF,1
2025,2,Termos Circunstanciados - OUTRAS,3
2025,9,Termos Circunstanciados - OUTRAS,3
2025,3,Em apuração,2
2025,4,Em apuração,1
2025,5,Em apuração,4
2025,6,Em apuração,1
2025,7,Em apuração,2
2025,8,Em apuração,2
2025,9,Em apuração,8
2025,10,Em apuração,2
2025,11,Em apuração,3
2025,1,Flagrantes,2
2025,2,Flagrantes,2
2025,3,Flagrantes,4
2025,4,Flagrantes,3
2025,5,Flagrantes,10
2025,6,Flagrantes,6
2025,7,Flagrantes,2
2025,8,Flagrantes,7
2025,9,Flagrantes,7
2025,10,Flagrantes,3
2025,11,Flagrantes,1
2025,12,Flagrantes,2
2025,1,P.A.A.I.,2
2025,2,P.A.A.I.,2
2025,3,P.A.A.I.,4
2025,4,P.A.A.I.,3
2025,1,Apreensão de arma de fogo e/ou munição,4
2025,4,Apreensão de arma de fogo e/ou munição,2
2025,5,Apreensão de arma de fogo e/ou munição,6
2025,6,Apreensão de arma de fogo e/ou munição,1
2025,7,Apreensão de arma de fogo e/ou munição,5
2025,8,Apreensão de arma de fogo e/ou munição,1
2025,11,Apreensão de arma de fogo e/ou munição,1
2025,12,Apreensão de arma de fogo e/ou munição,1
2025,1,Captura de animais / Busca de Animais / Recolhimento e Remoção de Animais / Remoção de Animais,198
2025,2,Captura de animais / Busca de Animais / Recolhimento e Remoção de Animais / Remoção de Animais,195
2025,3,Captura de animais / Busca de Animais / Recolhimento e Remoção de Animais / Remoção de Animais,124
2025,4,Captura de animais / Busca de Animais / Recolhimento e Remoção de Animais / Remoção de Animais,117
2025,5,Captura de animais / Busca de Animais / Recolhimento e Remoção de Animais / Remoção de Animais,135
2025,6,Captura de animais / Busca de Animais / Recolhimento e Remoção de Animais / Remoção de Animais,114
2025,7,Captura de animais / Busca de Animais / Recolhimento e Remoção de Animais / Remoção de Animais,168
2025,8,Captura de animais / Busca de Animais / Recolhimento e Remoção de Animais / Remoção de Animais,165
2025,9,Captura de animais / Busca de Animais / Recolhimento e Remoção de Animais / Remoção de Animais,209
2025,10,Captura de animais / Busca de Animais / Recolhimento e Remoção de Animais / Remoção de Animais,373
2025,11,Captura de animais / Busca de Animais / Recolhimento e Remoção de Animais / Remoção de Animais,362
2025,12,Captura de animais / Busca de Animais / Recolhimento e Remoção de Animais / Remoção de Animais,33
2025,2,Corte de Árvores,1
2025,10,Corte de Árvores,1
2025,11,Corte de Árvores,1
2025,4,Crime contra as Áreas de Proteção Permanente,2
2025,7,Crime contra as Áreas de Proteção Permanente,1
2025,1,Crimes contra as Unidades de Conservação,1
2025,2,Crimes contra as Unidades de Conservação,1
2025,3,Crimes contra as Unidades de Conservação,3
2025,4,Crimes contra as Unidades de Conservação,2
2025,5,Crimes contra as Unidades de Conservação,1
2025,6,Crimes contra as Unidades de Conservação,1
2025,9,Crimes contra as Unidades de Conservação,2
2025,11,Crimes contra as Unidades de Conservação,1
2025,1,Crime contra o Licenciamento Ambiental,2
2025,2,Crime contra o Licenciamento Ambiental,7
2025,3,Crime contra o Licenciamento Ambiental,6
2025,4,Crime contra o Licenciamento Ambiental,1
2025,6,Crime contra o Licenciamento Ambiental,1
2025,7,Crime contra o Licenciamento Ambiental,2
2025,10,Crime contra o Licenciamento Ambiental,4
2025,11,Crime contra o Licenciamento Ambiental,4
2025,1,Crime contra os Recursos Hídricos,2
2025,2,Crime contra os Recursos Hídricos,2
2025,4,Crime contra os Recursos Hídricos,1
2025,7,Crime contra os Recursos Hídricos,1
2025,10,Crime contra os Recursos Hídricos,1
2025,11,Crime contra os Recursos Hídricos,1
2025,1,Crime contra os Recursos Pesqueiros,2
2025,5,Crime contra os Recursos Pesqueiros,1
2025,6,Crime contra os Recursos Pesqueiros,2
2025,9,Crime contra os Recursos Pesqueiros,2
2025,10,Crime contra os Recursos Pesqueiros,2
2025,11,Crime contra os Recursos Pesqueiros,1
2025,1,Crimes contra a Administração Ambiental,2
2025,1,Crimes contra a Fauna,2
2025,2,Crimes contra a Fauna,12
2025,3,Crimes contra a Fauna,10
2025,4,Crimes contra a Fauna,4
2025,5,Crimes contra a Fauna,10
2025,6,Crimes contra a Fauna,8
2025,7,Crimes contra a Fauna,11
2025,8,Crimes contra a Fauna,9
2025,9,Crimes contra a Fauna,12
2025,10,Crimes contra a Fauna,11
2025,11,Crimes contra a Fauna,3
2025,12,Crimes contra a Fauna,1
2025,1,Crimes contra a Flora,2
2025,2,Crimes contra a Flora,2
2025,3,Crimes contra a Flora,3
2025,4,Crimes contra a Flora,2
2025,5,Crimes contra a Flora,5
2025,6,Crimes contra a Flora,2
2025,7,Crimes contra a Flora,4
2025,8,Crimes contra a Flora,2
2025,9,Crimes contra a Flora,1
2025,10,Crimes contra a Flora,1
2025,11,Crimes contra a Flora,3
2025,1,Outros Crimes Ambientais,2
2025,2,Outros Crimes Ambientais,8
2025,3,Outros Crimes Ambientais,4
2025,4,Outros Crimes Ambientais,4
2025,5,Outros Crimes Ambientais,8
2025,6,Outros Crimes Ambientais,9
2025,7,Outros Crimes Ambientais,3
2025,8,Outros Crimes Ambientais,5
2025,10,Outros Crimes Ambientais,4
2025,11,Outros Crimes Ambientais,8
2025,12,Outros Crimes Ambientais,2
2025,1,Parcelamento Irregular do Solo,2
2025,2,Parcelamento Irregular do Solo,5
2025,3,Parcelamento Irregular do Solo,1
2025,6,Parcelamento Irregular do Solo,4
2025,7,Parcelamento Irregular do Solo,2
2025,9,Parcelamento Irregular do Solo,4
2025,10,Parcelamento Irregular do Solo,2
2025,1,QUANTIDADE DE RESGATE,198
2025,2,QUANTIDADE DE RESGATE,195
2025,3,QUANTIDADE DE RESGATE,124
2025,4,QUANTIDADE DE RESGATE,117
2025,5,QUANTIDADE DE RESGATE,135
2025,6,QUANTIDADE DE RESGATE,114
2025,7,QUANTIDADE DE RESGATE,168
2025,8,QUANTIDADE DE RESGATE,165
2025,9,QUANTIDADE DE RESGATE,209
2025,10,QUANTIDADE DE RESGATE,373
2025,11,QUANTIDADE DE RESGATE,362
2025,12,QUANTIDADE DE RESGATE,33
2025,1,QUANTIDADE DE SOLTURA,59
2025,2,QUANTIDADE DE SOLTURA,63
2025,3,QUANTIDADE DE SOLTURA,27
2025,4,QUANTIDADE DE SOLTURA,34
2025,5,QUANTIDADE DE SOLTURA,34
2025,6,QUANTIDADE DE SOLTURA,21
2025,7,QUANTIDADE DE SOLTURA,33
2025,8,QUANTIDADE DE SOLTURA,40
2025,9,QUANTIDADE DE SOLTURA,32
2025,10,QUANTIDADE DE SOLTURA,72
2025,11,QUANTIDADE DE SOLTURA,185
2025,12,QUANTIDADE DE SOLTURA,139
2025,2,QUANTIDADE DE ÓBITOS,1
2025,6,QUANTIDADE DE ÓBITOS,1
2025,7,QUANTIDADE DE ÓBITOS,5
2025,10,QUANTIDADE DE ÓBITOS,4
2025,11,QUANTIDADE DE ÓBITOS,5
2025,12,QUANTIDADE DE ÓBITOS,1
2025,1,QUANTIDADE DE FERIDOS,32
2025,2,QUANTIDADE DE FERIDOS,51
2025,3,QUANTIDADE DE FERIDOS,6
2025,4,QUANTIDADE DE FERIDOS,22
2025,5,QUANTIDADE DE FERIDOS,17
2025,6,QUANTIDADE DE FERIDOS,20
2025,7,QUANTIDADE DE FERIDOS,21
2025,8,QUANTIDADE DE FERIDOS,32
2025,9,QUANTIDADE DE FERIDOS,20
2025,10,QUANTIDADE DE FERIDOS,107
2025,11,QUANTIDADE DE FERIDOS,119
2025,12,QUANTIDADE DE FERIDOS,93
2025,7,QUANTIDADE DE ATROPELAMENTO,1
2025,1,QUANTIDADE DE FILHOTES,8
2025,2,QUANTIDADE DE FILHOTES,19
2025,4,QUANTIDADE DE FILHOTES,1
2025,5,QUANTIDADE DE FILHOTES,1
2025,7,QUANTIDADE DE FILHOTES,1
2025,8,QUANTIDADE DE FILHOTES,10
2025,9,QUANTIDADE DE FILHOTES,14
2025,10,QUANTIDADE DE FILHOTES,60
2025,11,QUANTIDADE DE FILHOTES,37
2025,12,QUANTIDADE DE FILHOTES,72
2025,1,BAIANO,3
2025,2,BAIANO,16
2025,4,BAIANO,5
2025,5,BAIANO,2
2025,6,BAIANO,5
2025,7,BAIANO,15
2025,8,BAIANO,6
2025,9,BAIANO,12
2025,10,BAIANO,6
2025,12,BAIANO,1
2025,2,PERIQUITO DO ENCONTRO,3
2025,6,PERIQUITO DO ENCONTRO,1
2025,10,PERIQUITO DO ENCONTRO,1
2025,11,PERIQUITO DO ENCONTRO,2
2025,12,PERIQUITO DO ENCONTRO,6
2025,1,CANÁRIO DA TERRA,12
2025,2,CANÁRIO DA TERRA,1401
2025,4,CANÁRIO DA TERRA,10
2025,7,CANÁRIO DA TERRA,3
2025,9,CANÁRIO DA TERRA,3
2025,11,CANÁRIO DA TERRA,2
2025,12,CANÁRIO DA TERRA,2
2025,1,CORUJA BURAQUEIRA,11
2025,2,CORUJA BURAQUEIRA,5
2025,3,CORUJA BURAQUEIRA,1
2025,4,CORUJA BURAQUEIRA,1
2025,5,CORUJA BURAQUEIRA,2
2025,6,CORUJA BURAQUEIRA,2
2025,7,CORUJA BURAQUEIRA,4
2025,8,CORUJA BURAQUEIRA,6
2025,9,CORUJA BURAQUEIRA,3
2025,10,CORUJA BURAQUEIRA,5
2025,11,CORUJA BURAQUEIRA,13
2025,12,CORUJA BURAQUEIRA,16
