ano,mes,tipo_fauna,nome_popular,nome_cientifico,ordem,quantidade
2025,1,,ALMA DE GATO,Piaya cayana,Passeriformes,1
2025,11,,ALMA DE GATO,Piaya cayana,Passeriformes,1
2025,1,,ANDORINHA,Tyrannus savana,Passeriformes,1
2025,9,,ANDORINHA,Tyrannus savana,Passeriformes,1
2025,10,,ANDORINHA,Tyrannus savana,Passeriformes,6
2025,11,,ANDORINHA,Tyrannus savana,Passeriformes,10
2025,12,,ANDORINHA,Tyrannus savana,Passeriformes,11
2025,7,,ANU BRANCO,Guira guira,Cuculiformes,1
2025,12,,ANU BRANCO,Guira guira,Cuculiformes,1
2025,12,,ANU PRETO,Crotophaga ani,Cuculiformes,1
2025,1,,ARARA CANINDÉ,Ara ararauna,Psittaciformes,2
2025,3,,ARARA CANINDÉ,Ara ararauna,Psittaciformes,3
2025,6,,ARARA CANINDÉ,Ara ararauna,Psittaciformes,2
2025,7,,ARARA CANINDÉ,Ara ararauna,Psittaciformes,1
2025,8,,ARARA CANINDÉ,Ara ararauna,Psittaciformes,1
2025,10,,ARARA CANINDÉ,Ara ararauna,Psittaciformes,3
2025,11,,ARARA CANINDÉ,Ara ararauna,Psittaciformes,2
2025,12,,ARARA CANINDÉ,Ara ararauna,Psittaciformes,4
2025,1,,ARARA MARACANÃ,Primolius maracanã,Psittaciformes,1
2025,11,,ARARA MARACANÃ,Primolius maracanã,Psittaciformes,1
2025,1,,AZULÃO,Cyanocompsa brissonii,Passeriformes,1
2025,7,,AZULÃO,Cyanocompsa brissonii,Passeriformes,1
2025,9,,AZULÃO,Cyanocompsa brissonii,Passeriformes,2
2025,9,,BACURAU,Nyctidromus albicollis,Caprimulgiformes,1
2025,10,,BACURAU,Nyctidromus albicollis,Caprimulgiformes,6
2025,11,,BACURAU,Nyctidromus albicollis,Caprimulgiformes,3
2025,12,,BACURAU,Nyctidromus albicollis,Caprimulgiformes,1
2025,1,,BAIANO,Sporophila nigricollis,Passeriformes,3
2025,2,,BAIANO,Sporophila nigricollis,Passeriformes,16
2025,4,,BAIANO,Sporophila nigricollis,Passeriformes,5
2025,5,,BAIANO,Sporophila nigricollis,Passeriformes,2
2025,6,,BAIANO,Sporophila nigricollis,Passeriformes,5
2025,7,,BAIANO,Sporophila nigricollis,Passeriformes,15
2025,8,,BAIANO,Sporophila nigricollis,Passeriformes,6
2025,9,,BAIANO,Sporophila nigricollis,Passeriformes,12
2025,10,,BAIANO,Sporophila nigricollis,Passeriformes,6
2025,12,,BAIANO,Sporophila nigricollis,Passeriformes,1
2025,4,,BEIJA FLOR,Florisuga fusca,Apodiformes,1
2025,5,,BEIJA FLOR,Florisuga fusca,Apodiformes,4
2025,6,,BEIJA FLOR,Florisuga fusca,Apodiformes,1
2025,8,,BEIJA FLOR,Florisuga fusca,Apodiformes,2
2025,10,,BEIJA FLOR,Florisuga fusca,Apodiformes,2
2025,11,,BEIJA FLOR,Florisuga fusca,Apodiformes,1
2025,12,,BEIJA FLOR,Florisuga fusca,Apodiformes,1
2025,1,,BEM-TE-VI,Pitangus sulphuratus,Passeriformes,1
2025,2,,BEM-TE-VI,Pitangus sulphuratus,Passeriformes,2
2025,7,,BEM-TE-VI,Pitangus sulphuratus,Passeriformes,1
2025,8,,BEM-TE-VI,Pitangus sulphuratus,Passeriformes,2
2025,9,,BEM-TE-VI,Pitangus sulphuratus,Passeriformes,4
2025,10,,BEM-TE-VI,Pitangus sulphuratus,Passeriformes,3
2025,11,,BEM-TE-VI,Pitangus sulphuratus,Passeriformes,6
2025,12,,BEM-TE-VI,Pitangus sulphuratus,Passeriformes,7
2025,9,,BICO DE PIMENTA,Saltator fuliginosus,Passeriformes,3
2025,4,,BICUDO-VERDADEIRO,Oryzoborus maximiliani,Passeriformes,3
2025,1,,BIGODINHO,Sporophila lineola,Passeriformes,2
2025,6,,BIGODINHO,Sporophila lineola,Passeriformes,1
2025,7,,CABOCLINHO,Sporophila pileata,Passeriformes,1
2025,1,,CANÁRIO DA TERRA,Sicalis flaveola,Passeriformes,12
2025,2,,CANÁRIO DA TERRA,Sicalis flaveola,Passeriformes,1401
2025,4,,CANÁRIO DA TERRA,Sicalis flaveola,Passeriformes,10
2025,7,,CANÁRIO DA TERRA,Sicalis flaveola,Passeriformes,3
2025,9,,CANÁRIO DA TERRA,Sicalis flaveola,Passeriformes,3
2025,11,,CANÁRIO DA TERRA,Sicalis flaveola,Passeriformes,2
2025,12,,CANÁRIO DA TERRA,Sicalis flaveola,Passeriformes,2
2025,2,,CARCARÁ,Caracara plancus,Falconiformes,1
2025,7,,CARCARÁ,Caracara plancus,Falconiformes,1
2025,11,,CARCARÁ,Caracara plancus,Falconiformes,2
2025,12,,CARCARÁ,Caracara plancus,Falconiformes,3
2025,7,,CARDEAL-DO-NORDESTE,Paroaria dominicana,Passeriformes,4
2025,9,,CARDEAL-DO-NORDESTE,Paroaria dominicana,Passeriformes,1
2025,1,,COLEIRO,Sporophila caerulescens,Passeriformes,3
2025,2,,COLEIRO,Sporophila caerulescens,Passeriformes,2
2025,4,,COLEIRO,Sporophila caerulescens,Passeriformes,4
2025,7,,COLEIRO,Sporophila caerulescens,Passeriformes,4
2025,8,,COLEIRO,Sporophila caerulescens,Passeriformes,2
2025,9,,COLEIRO,Sporophila caerulescens,Passeriformes,1
2025,10,,COLEIRO,Sporophila caerulescens,Passeriformes,2
2025,9,,CORRUPIÃO,Icterus jamacaii,Passeriformes,1
2025,10,,CORRUPIÃO,Icterus jamacaii,Passeriformes,2
2025,1,,CORUJA BURAQUEIRA,Athene cunicularia,Strigiformes,11
2025,2,,CORUJA BURAQUEIRA,Athene cunicularia,Strigiformes,5
2025,3,,CORUJA BURAQUEIRA,Athene cunicularia,Strigiformes,1
2025,4,,CORUJA BURAQUEIRA,Athene cunicularia,Strigiformes,1
2025,5,,CORUJA BURAQUEIRA,Athene cunicularia,Strigiformes,2
2025,6,,CORUJA BURAQUEIRA,Athene cunicularia,Strigiformes,2
2025,7,,CORUJA BURAQUEIRA,Athene cunicularia,Strigiformes,4
2025,8,,CORUJA BURAQUEIRA,Athene cunicularia,Strigiformes,6
2025,9,,CORUJA BURAQUEIRA,Athene cunicularia,Strigiformes,3
2025,10,,CORUJA BURAQUEIRA,Athene cunicularia,Strigiformes,5
2025,11,,CORUJA BURAQUEIRA,Athene cunicularia,Strigiformes,13
2025,12,,CORUJA BURAQUEIRA,Athene cunicularia,Strigiformes,16
2025,1,,CORUJA CABURÉ,Glaucidium brasilianum,Strigiformes,1
2025,8,,CORUJA CABURÉ,Glaucidium brasilianum,Strigiformes,1
2025,11,,CORUJA CABURÉ,Glaucidium brasilianum,Strigiformes,3
2025,12,,CORUJA CABURÉ,Glaucidium brasilianum,Strigiformes,2
2025,2,,CORUJA ORELHUDA,Pseudoscops clamator,Strigiformes,1
2025,7,,CORUJA ORELHUDA,Pseudoscops clamator,Strigiformes,1
2025,10,,CORUJA ORELHUDA,Pseudoscops clamator,Strigiformes,2
2025,11,,CORUJA ORELHUDA,Pseudoscops clamator,Strigiformes,1
2025,12,,CORUJA ORELHUDA,Pseudoscops clamator,Strigiformes,1
2025,5,,CORUJA PRETA,Strix huhula,Strigiformes,1
2025,3,,CORUJA SUINDARA,Tyto furcata,Strigiformes,1
2025,4,,CORUJA SUINDARA,Tyto furcata,Strigiformes,1
2025,5,,CORUJA SUINDARA,Tyto furcata,Strigiformes,2
2025,6,,CORUJA SUINDARA,Tyto furcata,Strigiformes,1
2025,10,,CORUJA SUINDARA,Tyto furcata,Strigiformes,2
2025,11,,CORUJA SUINDARA,Tyto furcata,Strigiformes,1
2025,12,,CORUJA SUINDARA,Tyto furcata,Strigiformes,2
2025,3,,CORUJINHA DA MATA,Megascops choliba,Strigiformes,1
2025,10,,CORUJINHA DA MATA,Megascops choliba,Strigiformes,3
2025,11,,CORUJINHA DA MATA,Megascops choliba,Strigiformes,1
2025,12,,CORUJINHA DA MATA,Megascops choliba,Strigiformes,1
2025,11,,CURIANGO,Nyctidromus albicollis,Caprimulgiformes,3
2025,1,,CURICACA,Theristicus caudatus,Pelecaniformes,1
2025,2,,CURICACA,Theristicus caudatus,Pelecaniformes,1
2025,7,,CURICACA,Theristicus caudatus,Pelecaniformes,1
2025,11,,CURICACA,Theristicus caudatus,Pelecaniformes,3
2025,12,,CURICACA,Theristicus caudatus,Pelecaniformes,3
2025,1,,CURIÓ,Oryzoborus angolensis,Passeriformes,1
2025,2,,CURIÓ,Oryzoborus angolensis,Passeriformes,1
2025,12,,CURIÓ,Oryzoborus angolensis,Passeriformes,1
2025,1,,FRANGO D'ÁGUA,Gallinula galeata,Gruiformes,1
2025,2,,FRANGO D'ÁGUA,Gallinula galeata,Gruiformes,1
2025,10,,FRANGO D'ÁGUA,Gallinula galeata,Gruiformes,1
2025,11,,FRANGO D'ÁGUA,Gallinula galeata,Gruiformes,1
2025,12,,FRANGO D'ÁGUA,Gallinula galeata,Gruiformes,2
2025,1,,GARÇA BRANCA,Ardea alba,Pelecaniformes,1
2025,4,,GARÇA BRANCA,Ardea alba,Pelecaniformes,1
2025,1,,GAVIÃO CARIJO,Rupornis magnirostris,Accipitriformes,1
2025,4,,GAVIÃO CARIJO,Rupornis magnirostris,Accipitriformes,1
2025,5,,GAVIÃO CARIJO,Rupornis magnirostris,Accipitriformes,1
2025,11,,GAVIÃO CARIJO,Rupornis magnirostris,Accipitriformes,2
2025,4,,GAVIÃO QUIRI QUIRI,Falco sparverius,Falconiformes,1
2025,5,,GAVIÃO QUIRI QUIRI,Falco sparverius,Falconiformes,2
2025,10,,GAVIÃO QUIRI QUIRI,Falco sparverius,Falconiformes,2
