tipo,grupo,nome_popular,nome_cientifico,pasta,qtd_imagens,links_json
fauna,aves,Alma de Gato,(Piaya cayana),G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Piaya_cayana,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Piaya_cayana\_links_busca.json
fauna,aves,Andorinha,Tyrannus savana,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Tyrannus_savana,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Tyrannus_savana\_links_busca.json
fauna,aves,Anu Branco,Guira guira,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Guira_guira,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Guira_guira\_links_busca.json
fauna,aves,Anu Preto,Crotophaga ani,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Crotophaga_ani,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Crotophaga_ani\_links_busca.json
fauna,aves,Araçari Castanho,Pteroglossus castanotis,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Pteroglossus_castanotis,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Pteroglossus_castanotis\_links_busca.json
fauna,aves,Arara Canindé,Ara ararauna,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Ara_ararauna,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Ara_ararauna\_links_busca.json
fauna,aves,Arara Maracanã,Primolius maracanA,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Primolius_maracanA,0,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Primolius_maracanA\_links_busca.json
fauna,aves,Azulão,Cyanocompsa brissonii,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Cyanocompsa_brissonii,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Cyanocompsa_brissonii\_links_busca.json
fauna,aves,Bacurau,Nyctidromus albicollis,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Nyctidromus_albicollis,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Nyctidromus_albicollis\_links_busca.json
fauna,aves,Baiano,Sporophila nigricollis,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Sporophila_nigricollis,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Sporophila_nigricollis\_links_busca.json
fauna,aves,Beija Flor,Florisuga fusca,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Florisuga_fusca,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Florisuga_fusca\_links_busca.json
fauna,aves,Bem Te Vi,Pitangus sulphuratus,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Pitangus_sulphuratus,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Pitangus_sulphuratus\_links_busca.json
fauna,aves,Bico de Lacre,Estrilda astrild,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Estrilda_astrild,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Estrilda_astrild\_links_busca.json
fauna,aves,Bico de Pimenta,Saltator fuliginosus,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Saltator_fuliginosus,0,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Saltator_fuliginosus\_links_busca.json
fauna,aves,Bicudo Verdadeiro,Oryzoborus maximiliani,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Oryzoborus_maximiliani,0,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Oryzoborus_maximiliani\_links_busca.json
fauna,aves,Bigodinho,Sporophila lineola,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Sporophila_lineola,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Sporophila_lineola\_links_busca.json
fauna,aves,Biguá,Phalacrocorax brasilianus,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Phalacrocorax_brasilianus,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Phalacrocorax_brasilianus\_links_busca.json
fauna,aves,Biguatinga,Anhinga anhinga,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Anhinga_anhinga,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Anhinga_anhinga\_links_busca.json
fauna,aves,Caboclinho,Sporophila pileata,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Sporophila_pileata,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Sporophila_pileata\_links_busca.json
fauna,aves,Canário Belga,Serinus canaria,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Serinus_canaria,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Serinus_canaria\_links_busca.json
fauna,aves,Canário da Terra,Sicalis flaveola,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Sicalis_flaveola,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Sicalis_flaveola\_links_busca.json
fauna,aves,Carcará,Caracara plancus,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Caracara_plancus,3,G:\Meu Drive\JP\app BPMA\fotos_especie\fauna\aves\Caracara_plancus\_links_busca.json
